segment,watch_races,buy_races,total_points,avg_points,stake_yen,payback_yen,profit_yen,roi_pct,hit_rate_pct,manshu_hit_rate_pct,over5000_hit_rate_pct,max_losing_streak,max_drawdown_yen
2026-04,14,14,168,12.0,16800,23280,6480,138.57,14.29,7.14,7.14,5,7620
2024-09,13,13,156,12.0,15600,25750,10150,165.06,15.38,7.69,15.38,9,10800
2024-01,12,12,144,12.0,14400,0,-14400,0.0,0.0,0.0,0.0,12,14400
2024-07,12,12,144,12.0,14400,11200,-3200,77.78,33.33,0.0,0.0,3,3660
2026-01,11,11,132,12.0,13200,4150,-9050,31.44,9.09,0.0,0.0,6,9050
2025-11,11,11,132,12.0,13200,0,-13200,0.0,0.0,0.0,0.0,11,13200
2025-03,11,11,132,12.0,13200,7520,-5680,56.97,18.18,0.0,9.09,8,9600
2025-04,10,10,120,12.0,12000,3080,-8920,25.67,20.0,0.0,0.0,6,8920
2026-03,9,9,108,12.0,10800,12380,1580,114.63,22.22,0.0,22.22,5,6000
2024-11,8,8,96,12.0,9600,1760,-7840,18.33,12.5,0.0,0.0,6,7840
2026-05,8,8,96,12.0,9600,1000,-8600,10.42,12.5,0.0,0.0,7,8600
2026-02,8,8,96,12.0,9600,2180,-7420,22.71,12.5,0.0,0.0,5,7420
2024-05,8,8,96,12.0,9600,0,-9600,0.0,0.0,0.0,0.0,8,9600
2025-10,8,8,96,12.0,9600,9450,-150,98.44,12.5,0.0,12.5,4,4800
2025-01,7,7,84,12.0,8400,0,-8400,0.0,0.0,0.0,0.0,7,8400
2025-02,7,7,84,12.0,8400,13340,4940,158.81,14.29,14.29,14.29,5,6000
2025-12,7,7,84,12.0,8400,5830,-2570,69.4,42.86,0.0,0.0,3,4220
2025-06,7,7,84,12.0,8400,2870,-5530,34.17,14.29,0.0,0.0,6,7200
2025-08,6,6,72,12.0,7200,5920,-1280,82.22,16.67,0.0,16.67,3,3600
2025-09,6,6,72,12.0,7200,11160,3960,155.0,50.0,0.0,16.67,1,1750
2026-06,6,6,72,12.0,7200,0,-7200,0.0,0.0,0.0,0.0,6,7200
2024-10,6,6,72,12.0,7200,14340,7140,199.17,16.67,16.67,16.67,5,6000
2025-07,6,6,72,12.0,7200,75190,67990,1044.31,66.67,33.33,33.33,1,1200
2024-12,6,6,72,12.0,7200,4610,-2590,64.03,33.33,0.0,0.0,2,3330
2025-05,4,4,48,12.0,4800,0,-4800,0.0,0.0,0.0,0.0,4,4800
2024-04,4,4,48,12.0,4800,0,-4800,0.0,0.0,0.0,0.0,4,4800
2024-06,4,4,48,12.0,4800,5850,1050,121.88,25.0,0.0,25.0,2,2400
2024-02,3,3,36,12.0,3600,0,-3600,0.0,0.0,0.0,0.0,3,3600
2024-03,3,3,36,12.0,3600,860,-2740,23.89,33.33,0.0,0.0,1,2740
2024-08,2,2,24,12.0,2400,0,-2400,0.0,0.0,0.0,0.0,2,2400
